increment_id,user_id,start_datetime,end_datetime,"Driver first name","Driver last name","Payment Type",amount,transaction_id,payer_id,txn_type,source,description,currency,charged_at,created,"Transferred Amount","Pulled Amount","Transferred Source transaction_id",Transfer_id,"Transfer created At"
1000853-13,1,"2023-01-01 12:00:00","2023-01-08 12:00:00",Adam,Test092222,,,,,,,,,,,,,,,
,,,,,,4,32.62,ch_3MLT1AFbDFTkDvDo0flv9Bnx,896,Charge,stripe,,USD,"2023-01-01 15:00:10","2023-01-01 15:00:10",,,,,
,,,,,,2,296.08,ch_3MLT18FbDFTkDvDo079rvEvC,,Charge,stripe,,USD,"2023-01-01 15:00:10","2023-01-01 15:00:10",,,,,
1000671-31,71,"2023-01-01 16:00:00","2023-01-22 16:00:00",ADAM,POTASH,,,,,,,,,,,,,,,
,,,,,,2,1295.66,ch_3MgXqJFbDFTkDvDo0OQw7n6H,,Charge,stripe,,USD,"2023-02-28 18:24:05","2023-02-28 18:24:05",,,,,
1000848-20,1,"2023-01-02 12:00:00","2023-01-09 12:00:00",Adam,Test081122v2,,,,,,,,,,,,,,,
,,,,,,4,97.93,ch_3MLpUhFbDFTkDvDo0pwzuvwf,875,Charge,stripe,,USD,"2023-01-02 15:00:08","2023-01-02 15:00:08",,,,,
,,,,,,2,185.45,ch_3MLpUfFbDFTkDvDo1hw1OHuO,,Charge,stripe,,USD,"2023-01-02 15:00:09","2023-01-02 15:00:09",,,,,
1000751-79,1,"2023-01-02 12:00:00","2023-01-09 12:00:00",Adam,Test062721,,,,,,,,,,,,,,,
,,,,,,4,68.60,ch_3MLpUmFbDFTkDvDo0RrJhfLd,741,Charge,stripe,,USD,"2023-01-02 15:00:13","2023-01-02 15:00:13",,,,,
,,,,,,2,1.92,ch_3LUXR8FbDFTkDvDo01LIioYK,,Charge,wallet,,USD,"2022-08-08 15:00:08","2023-01-02 15:00:13",,,,,
,,,,,,2,4.32,ch_3LmcbfFbDFTkDvDo16AFmySl,,Charge,wallet,,USD,"2022-09-27 12:09:27","2023-01-02 15:00:13",,,,,
,,,,,,2,118.54,ch_3MLpUkFbDFTkDvDo1kgrYG7D,,Charge,stripe,,USD,"2023-01-02 15:00:13","2023-01-02 15:00:13",,,,,
,,,,,,2,-1.92,ch_3LUXR8FbDFTkDvDo01LIioYK,,Refund,wallet,,USD,"2022-08-08 15:00:08","2023-01-09 15:00:14",,,,,
,,,,,,2,-4.32,ch_3LmcbfFbDFTkDvDo16AFmySl,,Refund,wallet,,USD,"2022-09-27 12:09:27","2023-01-09 15:00:14",,,,,
1000796-54,1,"2023-01-02 13:00:00","2023-01-09 13:00:00",Adam,Test121621,,,,,,,,,,,,,,,
,,,,,,4,99.89,ch_3MLqQlFbDFTkDvDo1kfKyPNC,826,Charge,stripe,,USD,"2023-01-02 16:00:08","2023-01-02 16:00:08",,,,,
,,,,,,2,8.27,ch_3LUYNDFbDFTkDvDo1LUOqqad,,Charge,wallet,,USD,"2022-08-08 16:00:08","2023-01-02 16:00:08",,,,,
,,,,,,2,18.52,ch_3LmcboFbDFTkDvDo1jAYTtLQ,,Charge,wallet,,USD,"2022-09-27 12:09:27","2023-01-02 16:00:08",,,,,
,,,,,,2,509.12,ch_3MLqQkFbDFTkDvDo0fVXS7r0,,Charge,stripe,,USD,"2023-01-02 16:00:09","2023-01-02 16:00:09",,,,,
,,,,,,2,-8.27,ch_3LUYNDFbDFTkDvDo1LUOqqad,,Refund,wallet,,USD,"2022-08-08 16:00:08","2023-01-09 16:00:04",,,,,
,,,,,,2,-18.52,ch_3LmcboFbDFTkDvDo1jAYTtLQ,,Refund,wallet,,USD,"2022-09-27 12:09:27","2023-01-09 16:00:04",,,,,
1000766-59,1,"2023-01-02 13:00:00","2023-01-09 13:00:00",Adam,Test111021v2,,,,,,,,,,,,,,,
,,,,,,4,99.89,ch_3MLqQqFbDFTkDvDo0KIaJCP3,800,Charge,stripe,,USD,"2023-01-02 16:00:13","2023-01-02 16:00:13",,,,,
,,,,,,2,4.16,ch_3LTTJjFbDFTkDvDo0RU3FTFI,,Charge,wallet,,USD,"2022-08-05 16:24:05","2023-01-02 16:00:13",,,,,
,,,,,,2,9.26,ch_3LmcaTFbDFTkDvDo1N3D6tUQ,,Charge,wallet,,USD,"2022-09-27 12:08:27","2023-01-02 16:00:13",,,,,
,,,,,,2,255.25,ch_3MLqQpFbDFTkDvDo0p427gWj,,Charge,stripe,,USD,"2023-01-02 16:00:14","2023-01-02 16:00:14",,,,,
,,,,,,2,-4.16,ch_3LTTJjFbDFTkDvDo0RU3FTFI,,Refund,wallet,,USD,"2022-08-05 16:24:05","2023-01-09 16:00:10",,,,,
,,,,,,2,-9.26,ch_3LmcaTFbDFTkDvDo1N3D6tUQ,,Refund,wallet,,USD,"2022-09-27 12:08:27","2023-01-09 16:00:10",,,,,
1000849-20,1,"2023-01-02 15:36:00","2023-01-09 15:36:00",Adam,Test081222,,,,,,,,,,,,,,,
,,,,,,4,97.93,ch_3MLsvYFbDFTkDvDo0QgwceO0,880,Charge,stripe,,USD,"2023-01-02 18:40:06","2023-01-02 18:40:06",,,,,
,,,,,,2,207.25,ch_3MLsvXFbDFTkDvDo1gjD8aGU,,Charge,stripe,,USD,"2023-01-02 18:40:06","2023-01-02 18:40:06",,,,,
1000789-55,1,"2023-01-02 15:56:00","2023-01-09 15:56:00",Adam,Test121021,,,,,,,,,,,,,,,
,,,,,,4,99.89,ch_3MLtB2FbDFTkDvDo11kQEhVF,822,Charge,stripe,,USD,"2023-01-02 18:56:06","2023-01-02 18:56:06",,,,,
,,,,,,2,351.66,ch_3MLtB1FbDFTkDvDo1AFHFjXM,,Charge,stripe,,USD,"2023-01-02 18:56:06","2023-01-02 18:56:06",,,,,
1000700-89,1,"2023-01-02 16:00:00","2023-01-09 16:00:00",Adam,Test041921,,,,,,,,,,,,,,,
,,,,,,2,173.77,ch_3MLtEvFbDFTkDvDo1HWxBRid,,Charge,stripe,,USD,"2023-01-02 19:00:07","2023-01-02 19:00:07",,,,,
1000850-20,1,"2023-01-02 16:07:00","2023-01-09 16:07:00",Adam,Test081222v5,,,,,,,,,,,,,,,
,,,,,,4,97.93,ch_3MLtMeFbDFTkDvDo0f6cYlkB,881,Charge,stripe,,USD,"2023-01-02 19:08:05","2023-01-02 19:08:05",,,,,
,,,,,,2,186.43,ch_3MLtMcFbDFTkDvDo185ctyGB,,Charge,stripe,,USD,"2023-01-02 19:08:06","2023-01-02 19:08:06",,,,,
1000827-43,1,"2023-01-02 16:14:00","2023-01-09 16:14:00",Adam,Test0307,,,,,,,,,,,,,,,
,,,,,,4,99.89,ch_3MLtUPFbDFTkDvDo0e2FoubJ,850,Charge,stripe,,USD,"2023-01-02 19:16:06","2023-01-02 19:16:06",,,,,
,,,,,,2,4.33,ch_3LUbQpFbDFTkDvDo0z4ed9ku,,Charge,wallet,,USD,"2022-08-08 19:16:08","2023-01-02 19:16:06",,,,,
,,,,,,2,9.74,ch_3LmccFFbDFTkDvDo0RHxfgmP,,Charge,wallet,,USD,"2022-09-27 12:10:27","2023-01-02 19:16:06",,,,,
,,,,,,2,267.25,ch_3MLtUNFbDFTkDvDo0jHiOI6f,,Charge,stripe,,USD,"2023-01-02 19:16:07","2023-01-02 19:16:07",,,,,
,,,,,,2,-4.33,ch_3LUbQpFbDFTkDvDo0z4ed9ku,,Refund,wallet,,USD,"2022-08-08 19:16:08","2023-01-09 19:16:01",,,,,
,,,,,,2,-9.74,ch_3LmccFFbDFTkDvDo0RHxfgmP,,Refund,wallet,,USD,"2022-09-27 12:10:27","2023-01-09 19:16:02",,,,,
1000822-49,1,"2023-01-02 16:22:00","2023-01-09 16:22:00",Adam,Test012122,,,,,,,,,,,,,,,
,,,,,,4,99.89,ch_3MLtc7FbDFTkDvDo09RTV58Z,845,Charge,stripe,,USD,"2023-01-02 19:24:05","2023-01-02 19:24:05",,,,,
,,,,,,2,325.29,ch_3MLtc6FbDFTkDvDo0jpVroEt,,Charge,stripe,,USD,"2023-01-02 19:24:05","2023-01-02 19:24:05",,,,,
1000698-30,1,"2023-01-02 17:00:00","2023-01-23 17:00:00",Adam,Test041221,,,,,,,,,,,,,,,
,,,,,,2,97.86,ch_3MEIAWFbDFTkDvDo11b100p2,,Charge,wallet,,USD,"2022-12-12 20:00:09","2023-01-02 20:00:07",,,,,
,,,,,,2,431.53,ch_3MLuB0FbDFTkDvDo0keNr8wC,,Charge,stripe,,USD,"2023-01-02 20:00:07","2023-01-02 20:00:07",,,,,
,,,,,,,,,,,,,,,,34.63,0.00,ch_3MEIAWFbDFTkDvDo11b100p2,tr_3MEIAWFbDFTkDvDo1WTsprMX,"2023-02-01 20:00:06"
1000839-25,1,"2023-01-02 17:03:00","2023-01-09 17:03:00",Adam,Test062922,,,,,,,,,,,,,,,
,,,,,,4,99.89,ch_3MLuIkFbDFTkDvDo0rh3KN8x,852,Charge,stripe,,USD,"2023-01-02 20:08:08","2023-01-02 20:08:08",,,,,
,,,,,,2,233.99,ch_3MLuIjFbDFTkDvDo1Ohw371u,,Charge,stripe,,USD,"2023-01-02 20:08:08","2023-01-02 20:08:08",,,,,
1000811-51,1,"2023-01-02 17:35:00","2023-01-09 17:35:00",Adam,Test011022,,,,,,,,,,,,,,,
,,,,,,4,99.89,ch_3MLungFbDFTkDvDo1uhgzoIg,839,Charge,stripe,,USD,"2023-01-02 20:40:06","2023-01-02 20:40:06",,,,,
,,,,,,2,4.09,ch_3LUck6FbDFTkDvDo1lKRBtPX,,Charge,wallet,,USD,"2022-08-08 20:40:08","2023-01-02 20:40:06",,,,,
,,,,,,2,9.14,ch_3LmccWFbDFTkDvDo0VGsgXYw,,Charge,wallet,,USD,"2022-09-27 12:10:27","2023-01-02 20:40:06",,,,,
,,,,,,2,251.47,ch_3MLunfFbDFTkDvDo1gjwiTnm,,Charge,stripe,,USD,"2023-01-02 20:40:06","2023-01-02 20:40:06",,,,,
,,,,,,2,-4.09,ch_3LUck6FbDFTkDvDo1lKRBtPX,,Refund,wallet,,USD,"2022-08-08 20:40:08","2023-01-09 20:40:02",,,,,
,,,,,,2,-9.14,ch_3LmccWFbDFTkDvDo0VGsgXYw,,Refund,wallet,,USD,"2022-09-27 12:10:27","2023-01-09 20:40:02",,,,,
1000754-79,1,"2023-01-02 22:00:00","2023-01-09 22:00:00",Adam,Test062821v3,,,,,,,,,,,,,,,
,,,,,,4,68.60,ch_3MLyrMFbDFTkDvDo0m5HldKM,744,Charge,stripe,,USD,"2023-01-03 01:00:10","2023-01-03 01:00:10",,,,,
,,,,,,2,2.33,ch_3LUgnkFbDFTkDvDo1kQZPVhh,,Charge,wallet,,USD,"2022-08-09 01:00:09","2023-01-03 01:00:10",,,,,
,,,,,,2,5.22,ch_3LmccaFbDFTkDvDo0aNJjpIE,,Charge,wallet,,USD,"2022-09-27 12:10:27","2023-01-03 01:00:10",,,,,
,,,,,,2,143.45,ch_3MLyrLFbDFTkDvDo1tEez4Uz,,Charge,stripe,,USD,"2023-01-03 01:00:10","2023-01-03 01:00:10",,,,,
,,,,,,2,-2.33,ch_3LUgnkFbDFTkDvDo1kQZPVhh,,Refund,wallet,,USD,"2022-08-09 01:00:09","2023-01-10 01:00:05",,,,,
,,,,,,2,-5.22,ch_3LmccaFbDFTkDvDo0aNJjpIE,,Refund,wallet,,USD,"2022-09-27 12:10:27","2023-01-10 01:00:05",,,,,
1000866-6,1,"2023-01-02 22:30:00","2023-01-09 22:30:00",Adam,Test112122,,,,,,,,,,,,,,,
,,,,,,4,32.62,ch_3MLzMGFbDFTkDvDo0AyhfLGJ,912,Charge,stripe,,USD,"2023-01-03 01:32:06","2023-01-03 01:32:06",,,,,
,,,,,,2,215.60,ch_3MLzMFFbDFTkDvDo1gBN6wrC,,Charge,stripe,,USD,"2023-01-03 01:32:06","2023-01-03 01:32:06",,,,,
1000858-10,1,"2023-01-03 08:00:00","2023-01-10 08:00:00",Adam,Test102422,,,,,,,,,,,,,,,
,,,,,,4,97.93,ch_3MM8E1FbDFTkDvDo1549Hocv,905,Charge,stripe,,USD,"2023-01-03 11:00:11","2023-01-03 11:00:11",,,,,
,,,,,,2,345.06,ch_3MM8E0FbDFTkDvDo1CsZ5PjH,,Charge,stripe,,USD,"2023-01-03 11:00:11","2023-01-03 11:00:11",,,,,
1000828-39,1,"2023-01-03 12:00:00","2023-01-10 12:00:00",Adam,Test0307,,,,,,,,,,,,,,,
,,,,,,4,99.89,ch_3MMByGFbDFTkDvDo130Vbp4O,850,Charge,stripe,,USD,"2023-01-03 15:00:09","2023-01-03 15:00:09",,,,,
,,,,,,2,4.43,ch_3LUtueFbDFTkDvDo0oDJ6MCh,,Charge,wallet,,USD,"2022-08-09 15:00:09","2023-01-03 15:00:09",,,,,
,,,,,,2,9.92,ch_3LmccfFbDFTkDvDo1aeyJDz5,,Charge,wallet,,USD,"2022-09-27 12:10:27","2023-01-03 15:00:09",,,,,
,,,,,,2,272.67,ch_3MMByEFbDFTkDvDo1q0A7Fv5,,Charge,stripe,,USD,"2023-01-03 15:00:10","2023-01-03 15:00:10",,,,,
,,,,,,2,-4.43,ch_3LUtueFbDFTkDvDo0oDJ6MCh,,Refund,wallet,,USD,"2022-08-09 15:00:09","2023-01-10 15:00:04",,,,,
,,,,,,2,-9.92,ch_3LmccfFbDFTkDvDo1aeyJDz5,,Refund,wallet,,USD,"2022-09-27 12:10:27","2023-01-10 15:00:04",,,,,
1000824-24,1,"2023-01-03 13:00:00","2023-01-17 13:00:00",Adam,Test020822,,,,,,,,,,,,,,,
,,,,,,4,199.78,ch_3MMCuKFbDFTkDvDo1HwBonkA,847,Charge,stripe,,USD,"2023-01-03 16:00:09","2023-01-03 16:00:09",,,,,
,,,,,,2,641.74,ch_3MMCuIFbDFTkDvDo0nIVvCLM,,Charge,stripe,,USD,"2023-01-03 16:00:10","2023-01-03 16:00:10",,,,,
,,,,,,,,,,,,,,,,41.98,0.00,ch_3MMCuIFbDFTkDvDo0nIVvCLM,tr_3MMCuIFbDFTkDvDo0RbWEMTU,"2023-02-01 20:00:07"
1000778-59,1,"2023-01-03 13:00:00","2023-01-10 13:00:00",Adam,Test112321,,,,,,,,,,,,,,,
,,,,,,4,99.89,ch_3MMCuQFbDFTkDvDo0xHH5LXD,811,Charge,stripe,,USD,"2023-01-03 16:00:15","2023-01-03 16:00:15",,,,,
,,,,,,2,4.56,ch_3LUuqiFbDFTkDvDo0QiasmSp,,Charge,wallet,,USD,"2022-08-09 16:00:09","2023-01-03 16:00:15",,,,,
,,,,,,2,10.25,ch_3LmccoFbDFTkDvDo1Fza6HIX,,Charge,wallet,,USD,"2022-09-27 12:11:27","2023-01-03 16:00:16",,,,,
,,,,,,2,281.27,ch_3MMCuPFbDFTkDvDo0iGdDBhN,,Charge,stripe,,USD,"2023-01-03 16:00:16","2023-01-03 16:00:16",,,,,
,,,,,,2,-4.56,ch_3LUuqiFbDFTkDvDo0QiasmSp,,Refund,wallet,,USD,"2022-08-09 16:00:09","2023-01-10 16:00:05",,,,,
,,,,,,2,-10.25,ch_3LmccoFbDFTkDvDo1Fza6HIX,,Refund,wallet,,USD,"2022-09-27 12:11:27","2023-01-10 16:00:06",,,,,
1000673-92,1,"2023-01-03 13:47:00","2023-01-10 13:47:00",Adam,Test0327,,,,,,,,,,,,,,,
,,,,,,2,187.06,ch_3MMDehFbDFTkDvDo09xNftyu,,Charge,stripe,,USD,"2023-01-03 16:48:05","2023-01-03 16:48:05",,,,,
1000842-21,1,"2023-01-03 15:41:00","2023-01-10 15:41:00",Adam,Test080522,,,,,,,,,,,,,,,
,,,,,,4,97.93,ch_3MMFWqFbDFTkDvDo0dVW82li,867,Charge,stripe,,USD,"2023-01-03 18:48:06","2023-01-03 18:48:06",,,,,
,,,,,,2,180.51,ch_3MMFWpFbDFTkDvDo0DSzzYcF,,Charge,stripe,,USD,"2023-01-03 18:48:06","2023-01-03 18:48:06",,,,,
1000755-79,1,"2023-01-03 16:00:00","2023-01-10 16:00:00",Adam,Test062921,,,,,,,,,,,,,,,
,,,,,,4,65.31,ch_3MMFiVFbDFTkDvDo1fLDg4TA,745,Charge,stripe,,USD,"2023-01-03 19:00:08","2023-01-03 19:00:08",,,,,
,,,,,,2,4.28,ch_3LUxeuFbDFTkDvDo1w1dVhLP,,Charge,wallet,,USD,"2022-08-09 19:00:09","2023-01-03 19:00:08",,,,,
,,,,,,2,9.57,ch_3Lmcd0FbDFTkDvDo0fmT894i,,Charge,wallet,,USD,"2022-09-27 12:11:27","2023-01-03 19:00:08",,,,,
,,,,,,2,263.21,ch_3MMFiUFbDFTkDvDo1L0bUp5S,,Charge,stripe,,USD,"2023-01-03 19:00:09","2023-01-03 19:00:09",,,,,
,,,,,,2,-4.28,ch_3LUxeuFbDFTkDvDo1w1dVhLP,,Refund,wallet,,USD,"2022-08-09 19:00:09","2023-01-10 19:00:06",,,,,
,,,,,,2,-9.57,ch_3Lmcd0FbDFTkDvDo0fmT894i,,Refund,wallet,,USD,"2022-09-27 12:11:27","2023-01-10 19:00:06",,,,,
1000706-88,1,"2023-01-03 17:00:00","2023-01-10 17:00:00",Adam,Test0426,,,,,,,,,,,,,,,
,,,,,,4,34.23,ch_3MMGeaFbDFTkDvDo1pgJhII3,632,Charge,stripe,,USD,"2023-01-03 20:00:09","2023-01-03 20:00:09",,,,,
,,,,,,2,203.88,ch_3MMGeYFbDFTkDvDo1KPFTpef,,Charge,stripe,,USD,"2023-01-03 20:00:10","2023-01-03 20:00:10",,,,,
1000843-21,1,"2023-01-03 17:36:00","2023-01-10 17:36:00",Imran,Mohiuddin,,,,,,,,,,,,,,,
,,,,,,4,48.93,ch_3MMHHFFbDFTkDvDo1LLI4fRs,869,Charge,stripe,,USD,"2023-01-03 20:40:07","2023-01-03 20:40:07",,,,,
,,,,,,2,119.99,ch_3MMHHEFbDFTkDvDo0NaTypLc,,Charge,stripe,,USD,"2023-01-03 20:40:07","2023-01-03 20:40:07",,,,,
1000724-87,1,"2023-01-03 21:00:00","2023-01-10 21:00:00",Adam,Test050221,,,,,,,,,,,,,,,
,,,,,,4,68.60,ch_3MMKOrFbDFTkDvDo1ZaPb0CY,706,Charge,stripe,,USD,"2023-01-04 00:00:11","2023-01-04 00:00:11",,,,,
,,,,,,2,4.70,ch_3LSqYFFbDFTkDvDo0MqoqN4z,,Charge,wallet,,USD,"2022-08-03 23:00:03","2023-01-04 00:00:11",,,,,
,,,,,,2,8.83,ch_3LXvDUFbDFTkDvDo1JWCgqml,,Charge,wallet,,USD,"2022-08-17 23:00:17","2023-01-04 00:00:11",,,,,
,,,,,,2,265.10,ch_3MMKOqFbDFTkDvDo0T3QdTyq,,Charge,stripe,,USD,"2023-01-04 00:00:11","2023-01-04 00:00:11",,,,,
,,,,,,2,-4.70,ch_3LSqYFFbDFTkDvDo0MqoqN4z,,Refund,wallet,,USD,"2022-08-03 23:00:03","2023-01-11 00:00:07",,,,,
,,,,,,2,-8.83,ch_3LXvDUFbDFTkDvDo1JWCgqml,,Refund,wallet,,USD,"2022-08-17 23:00:17","2023-01-11 00:00:07",,,,,
1000708-88,1,"2023-01-03 23:00:00","2023-01-10 23:00:00",Adam,Test042721v7,,,,,,,,,,,,,,,
,,,,,,4,68.53,ch_3MMMGxFbDFTkDvDo1U3O4BuC,643,Charge,stripe,,USD,"2023-01-04 02:00:08","2023-01-04 02:00:08",,,,,
,,,,,,2,197.51,ch_3MMMGwFbDFTkDvDo0xXJWRsb,,Charge,stripe,,USD,"2023-01-04 02:00:09","2023-01-04 02:00:09",,,,,
1000852-13,1,"2023-01-04 02:00:00","2023-01-11 02:00:00",Adam,Test092222,,,,,,,,,,,,,,,
,,,,,,4,32.62,ch_3MMP59FbDFTkDvDo0GMSJpP6,896,Charge,stripe,,USD,"2023-01-04 05:00:09","2023-01-04 05:00:09",,,,,
,,,,,,2,150.40,ch_3MMP58FbDFTkDvDo0w2xZlxp,,Charge,stripe,,USD,"2023-01-04 05:00:09","2023-01-04 05:00:09",,,,,
1000859-10,1,"2023-01-04 08:00:00","2023-01-11 08:00:00",Adam,Test102522,,,,,,,,,,,,,,,
